location,site,exp,location,soil_moisture,pH,plot_Id_pair,unique_plotID,unique_sampID,treatment,myc_assoc,isolate,mel_status,harvest_date,incub_period.days,incub_period.wks,incub_period.months,incub_period.years,mass_remaining ,mt.mo,notes
cedar creek,Prairie,CC_praire2,field_0,12.93333333,4.903,field0_2,25, CCP2_115,EM_forb,EM,Mel_Black,melanized ,8/29/17,11,1.571428571,0.366666667,0.030136986,58.17490494,0.581749049,
cedar creek,Prairie,CC_praire2,field_0,13.2,4.843,field0_2,25, CCP2_110,AM_grass,AM,Mort,non-melanized,8/29/17,11,1.571428571,0.366666667,0.030136986,46.18473896,0.46184739,
cedar creek,Prairie,CC_praire2,field_0,12.93333333,4.903,field0_2,25, CCP2_113,EM_forb,EM,Mort,non-melanized,8/29/17,11,1.571428571,0.366666667,0.030136986,50.57034221,0.505703422,
cedar creek,Prairie,CC_praire2,field_0,NA,NA,field0_2,25, CCP2_116,AM_grass,AM,Ceno,melanized ,9/21/17,34,4.857142857,1.133333333,0.093150685,NA,NA,not recovered
cedar creek,Prairie,CC_praire2,field_0,NA,NA,field0_2,25, CCP2_117,EM_forb,EM,Ceno,melanized ,9/21/17,34,4.857142857,1.133333333,0.093150685,NA,NA,not recovered
cedar creek,Prairie,CC_praire2,field_0,NA,NA,field0_2,25, CCP2_118,AM_grass,AM,Mel_Black,melanized ,9/21/17,34,4.857142857,1.133333333,0.093150685,NA,NA,not recovered
cedar creek,Prairie,CC_praire2,field_0,NA,NA,field0_2,25, CCP2_119,EM_forb,EM,Mel_Black,melanized ,9/21/17,34,4.857142857,1.133333333,0.093150685,NA,NA,not recovered
cedar creek,Prairie,CC_praire2,field_0,NA,NA,field0_2,25, CCP2_120,AM_grass,AM,Mort,non-melanized,9/21/17,34,4.857142857,1.133333333,0.093150685,NA,NA,not recovered
cedar creek,Prairie,CC_praire2,field_0,NA,NA,field0_2,25, CCP2_121,EM_forb,EM,Mort,non-melanized,9/21/17,34,4.857142857,1.133333333,0.093150685,NA,NA,not recovered
cedar creek,Prairie,CC_praire2,field_0,12.8,4.8985,field0_3,28, CCP2_135,EM_forb,EM,Ceno,melanized ,8/29/17,11,1.571428571,0.366666667,0.030136986,21.56862745,0.215686275,
cedar creek,Prairie,CC_praire2,field_0,12.8,4.7905,field0_3,28, CCP2_136,AM_grass,AM,Ceno,melanized ,8/29/17,11,1.571428571,0.366666667,0.030136986,22.89156627,0.228915663,
cedar creek,Prairie,CC_praire2,field_0,12.8,4.7905,field0_3,28, CCP2_150,AM_grass,AM,Mel_Black,melanized ,8/29/17,11,1.571428571,0.366666667,0.030136986,53.1496063,0.531496063,
cedar creek,Prairie,CC_praire2,field_0,12.8,4.8985,field0_3,28, CCP2_151,EM_forb,EM,Mel_Black,melanized ,8/29/17,11,1.571428571,0.366666667,0.030136986,56.640625,0.56640625,
cedar creek,Prairie,CC_praire2,field_0,12.8,4.7905,field0_3,28, CCP2_145,AM_grass,AM,Mort,non-melanized,8/29/17,11,1.571428571,0.366666667,0.030136986,39.54372624,0.395437262,
cedar creek,Prairie,CC_praire2,field_0,12.8,4.8985,field0_3,28, CCP2_149,EM_forb,EM,Mort,non-melanized,8/29/17,11,1.571428571,0.366666667,0.030136986,44.88188976,0.448818898,
cedar creek,Prairie,CC_praire2,field_0,NA,NA,field0_3,28, CCP2_152,AM_grass,AM,Ceno,melanized ,9/21/17,34,4.857142857,1.133333333,0.093150685,NA,NA,not recovered
